fips SCC Pollutant Emissions type year
25007 223007219X PM25-PRI 0.03 ON-ROAD 1999
25009 223007329X PM25-PRI 5.14 ON-ROAD 1999
25011 220107023B PM25-PRI 0.01 ON-ROAD 1999
25011 223000129X PM25-PRI 0.01 ON-ROAD 1999
25013 2265004046 PM25-PRI 0.02 NON-ROAD 1999
25015 220102031B PM25-PRI 0.06 ON-ROAD 1999
25017 220100133B PM25-PRI 5.4 ON-ROAD 1999
25017 223007311B PM25-PRI 0.02 ON-ROAD 1999
25017 2270002018 PM25-PRI 12.36 NON-ROAD 1999
25021 2265004011 PM25-PRI 0.57 NON-ROAD 1999
25023 220108033X PM25-PRI 0.06 ON-ROAD 1999
25025 220104029B PM25-PRI 0.19 ON-ROAD 1999
25025 2260003040 PM25-PRI 0 NON-ROAD 1999
25027 220104021B PM25-PRI 0.12 ON-ROAD 1999
25027 223007219X PM25-PRI 0.35 ON-ROAD 1999
25027 223007329B PM25-PRI 0.07 ON-ROAD 1999
10001 223007313X PM25-PRI 4.5 ON-ROAD 1999
10005 50200602 PM25-PRI 1.284 POINT 1999
10005 220104029B PM25-PRI 0.02 ON-ROAD 1999
10005 220108013X PM25-PRI 0.07 ON-ROAD 1999
10005 2810030000 PM25-PRI 1.65 NONPOINT 1999
11001 2265002066 PM25-PRI 0.02 NON-ROAD 1999
11001 2280002200 PM25-PRI 0.12 NON-ROAD 1999
24001 220107029B PM25-PRI 0.01 ON-ROAD 1999
24001 223007315B PM25-PRI 0.01 ON-ROAD 1999
24001 2294000000 PM25-PRI 250.24 NONPOINT 1999
24003 220100113B PM25-PRI 0.58 ON-ROAD 1999
24009 220102031B PM25-PRI 0.01 ON-ROAD 1999
24009 223007521X PM25-PRI 0.51 ON-ROAD 1999
24011 2270005060 PM25-PRI 0.25 NON-ROAD 1999
24013 220104027X PM25-PRI 0.26 ON-ROAD 1999
24013 2265005050 PM25-PRI 0 NON-ROAD 1999
24013 2270002036 PM25-PRI 2.8 NON-ROAD 1999
24013 2270003010 PM25-PRI 0.19 NON-ROAD 1999
24015 220104015T PM25-PRI 0.03 ON-ROAD 1999
24017 2265005015 PM25-PRI 0 NON-ROAD 1999
24019 2267003020 PM25-PRI 0.18 NON-ROAD 1999
24023 2270002069 PM25-PRI 1.2 NON-ROAD 1999
24025 220104017T PM25-PRI 0.03 ON-ROAD 1999
24025 220108013X PM25-PRI 0.02 ON-ROAD 1999
24025 2267002066 PM25-PRI 0 NON-ROAD 1999
24025 2285004015 PM25-PRI 0 NON-ROAD 1999
24027 2265002057 PM25-PRI 0 NON-ROAD 1999
24029 220104013B PM25-PRI 0.03 ON-ROAD 1999
24031 223007417X PM25-PRI 5.22 ON-ROAD 1999
24031 223007533X PM25-PRI 0.81 ON-ROAD 1999
24031 2270005020 PM25-PRI 0.99 NON-ROAD 1999
24031 2270008005 PM25-PRI 0.6 NON-ROAD 1999
24031 2275050000 PM25-PRI 0.87 NON-ROAD 1999
24037 220102033X PM25-PRI 0.02 ON-ROAD 1999
24037 2260002054 PM25-PRI 0 NON-ROAD 1999
24037 2267002003 PM25-PRI 0 NON-ROAD 1999
24037 2296000000 PM25-PRI 183.64 NONPOINT 1999
24037 2810005000 PM25-PRI 3.667 NONPOINT 1999
24039 220104017B PM25-PRI 0.02 ON-ROAD 1999
24039 223007119X PM25-PRI 0.04 ON-ROAD 1999
24039 2260003030 PM25-PRI 0 NON-ROAD 1999
24039 2805001000 PM25-PRI 2.21 NONPOINT 1999
24041 220100133X PM25-PRI 0.02 ON-ROAD 1999
24041 220102019X PM25-PRI 0.06 ON-ROAD 1999
24043 2265005040 PM25-PRI 0 NON-ROAD 1999
24045 223007429T PM25-PRI 0.01 ON-ROAD 1999
24047 223000121X PM25-PRI 0.02 ON-ROAD 1999
24047 2265005025 PM25-PRI 0 NON-ROAD 1999
24510 220104027B PM25-PRI 0.57 ON-ROAD 1999
24510 2270006030 PM25-PRI 0.2 NON-ROAD 1999
01001 2265002072 PM25-PRI 0 NON-ROAD 1999
01001 2265004025 PM25-PRI 0 NON-ROAD 1999
01003 223007217X PM25-PRI 0.18 ON-ROAD 1999
01003 223007227X PM25-PRI 0.13 ON-ROAD 1999
01003 2265002033 PM25-PRI 0 NON-ROAD 1999
01003 2265004016 PM25-PRI 0.18 NON-ROAD 1999
01003 2267002045 PM25-PRI 0 NON-ROAD 1999
01003 2267006015 PM25-PRI 0 NON-ROAD 1999
01005 30201799 PM25-PRI 40.668 POINT 1999
01005 2260007005 PM25-PRI 1.45 NON-ROAD 1999
01005 2267002003 PM25-PRI 0 NON-ROAD 1999
01007 2265006015 PM25-PRI 0 NON-ROAD 1999
01009 220104019T PM25-PRI 0.01 ON-ROAD 1999
01011 2267002072 PM25-PRI 0 NON-ROAD 1999
01013 220102031X PM25-PRI 0.01 ON-ROAD 1999
01015 220104013T PM25-PRI 0.02 ON-ROAD 1999
01015 223007417T PM25-PRI 0.04 ON-ROAD 1999
01017 2260003040 PM25-PRI 0 NON-ROAD 1999
01019 2610000400 PM25-PRI 1.13 NONPOINT 1999
01029 220104011B PM25-PRI 0.12 ON-ROAD 1999
01033 2270002003 PM25-PRI 0.05 NON-ROAD 1999
01035 2270002030 PM25-PRI 0.07 NON-ROAD 1999
01035 2270005060 PM25-PRI 0.04 NON-ROAD 1999
01037 2270006015 PM25-PRI 0.03 NON-ROAD 1999
01043 2610000500 PM25-PRI 39.4 NONPOINT 1999
01047 2270005010 PM25-PRI 0 NON-ROAD 1999
01053 10200906 PM25-PRI 26.74 POINT 1999
01053 223007117X PM25-PRI 0.1 ON-ROAD 1999
01053 223007331X PM25-PRI 0.07 ON-ROAD 1999
01057 223007513X PM25-PRI 0.05 ON-ROAD 1999
01059 223000133X PM25-PRI 0.01 ON-ROAD 1999
01059 223006021X PM25-PRI 0.11 ON-ROAD 1999
01061 223007315B PM25-PRI 0.01 ON-ROAD 1999
01063 2104008050 PM25-PRI 0.28 NONPOINT 1999
01065 2104008001 PM25-PRI 0.52 NONPOINT 1999
01069 2104011000 PM25-PRI 0.078 NONPOINT 1999
01071 220100119T PM25-PRI 0.02 ON-ROAD 1999
01071 220102017T PM25-PRI 0.04 ON-ROAD 1999
01071 220104015X PM25-PRI 0.15 ON-ROAD 1999
01073 30400315 PM25-PRI 149.341 POINT 1999
01073 30799998 PM25-PRI 5.598 POINT 1999
01073 220102013X PM25-PRI 0.26 ON-ROAD 1999
01073 220104015X PM25-PRI 0.03 ON-ROAD 1999
01073 220104019B PM25-PRI 0.02 ON-ROAD 1999
01077 223000131X PM25-PRI 0.02 ON-ROAD 1999
01077 223006013X PM25-PRI 0.1 ON-ROAD 1999
01083 220107017X PM25-PRI 0.19 ON-ROAD 1999
01083 2265004030 PM25-PRI 0 NON-ROAD 1999
01085 2265005060 PM25-PRI 0 NON-ROAD 1999
01085 2810015000 PM25-PRI 0 NONPOINT 1999
01087 2260004020 PM25-PRI 0.09 NON-ROAD 1999
01089 220104015X PM25-PRI 0.03 ON-ROAD 1999
01089 220107029T PM25-PRI 0.03 ON-ROAD 1999
01089 2260004071 PM25-PRI 0 NON-ROAD 1999
01089 2260005035 PM25-PRI 0.01 NON-ROAD 1999
01089 2265005055 PM25-PRI 0 NON-ROAD 1999
01089 2270002057 PM25-PRI 3.01 NON-ROAD 1999
01091 2103002000 PM25-PRI 0.011 NONPOINT 1999
01091 220100127X PM25-PRI 0.19 ON-ROAD 1999
01091 223007433T PM25-PRI 0.01 ON-ROAD 1999
01093 30501414 PM25-PRI 7.144 POINT 1999
01093 220107013T PM25-PRI 0.01 ON-ROAD 1999
01093 220107027B PM25-PRI 0.01 ON-ROAD 1999
01093 220108015B PM25-PRI 0.01 ON-ROAD 1999
01093 2265005045 PM25-PRI 0 NON-ROAD 1999
01097 2265004055 PM25-PRI 0.73 NON-ROAD 1999
01099 2275050000 PM25-PRI 0.33 NON-ROAD 1999
01101 2270002024 PM25-PRI 0.04 NON-ROAD 1999
01103 30200742 PM25-PRI 6.223 POINT 1999
01103 50300101 PM25-PRI 0.024 POINT 1999
01103 220102013T PM25-PRI 0.05 ON-ROAD 1999
01103 220102015B PM25-PRI 0.09 ON-ROAD 1999
01105 2102006000 PM25-PRI 2.44 NONPOINT 1999
01105 2260006005 PM25-PRI 0 NON-ROAD 1999
01107 2104004000 PM25-PRI 0.003 NONPOINT 1999
01107 2260002006 PM25-PRI 0.02 NON-ROAD 1999
01113 220102031X PM25-PRI 0.08 ON-ROAD 1999
01113 223007413B PM25-PRI 0.02 ON-ROAD 1999
01113 2268006020 PM25-PRI 0 NON-ROAD 1999
01115 10100801 PM25-PRI 3.528 POINT 1999
01115 10200404 PM25-PRI 0.065 POINT 1999
01117 223007415T PM25-PRI 0.08 ON-ROAD 1999
01117 2268006015 PM25-PRI 0 NON-ROAD 1999
01117 2270005010 PM25-PRI 0 NON-ROAD 1999
01119 2265005035 PM25-PRI 0 NON-ROAD 1999
01121 220100131X PM25-PRI 0.14 ON-ROAD 1999
01121 220104021X PM25-PRI 0.09 ON-ROAD 1999
01121 220108017X PM25-PRI 0.01 ON-ROAD 1999
01121 2265003060 PM25-PRI 0 NON-ROAD 1999
01121 2270002021 PM25-PRI 0.03 NON-ROAD 1999
01123 2260005035 PM25-PRI 0 NON-ROAD 1999
01125 30600904 PM25-PRI 0.321 POINT 1999
01125 223006011X PM25-PRI 0.27 ON-ROAD 1999
01125 2265002057 PM25-PRI 0 NON-ROAD 1999
01129 2102002000 PM25-PRI 0.007 NONPOINT 1999
01129 2270002081 PM25-PRI 0.03 NON-ROAD 1999
01131 2265002066 PM25-PRI 0 NON-ROAD 1999
01131 2270003020 PM25-PRI 0.21 NON-ROAD 1999
01133 2268006015 PM25-PRI 0 NON-ROAD 1999
12001 2260004025 PM25-PRI 0.81 NON-ROAD 1999
12003 2104008004 PM25-PRI 0.07 NONPOINT 1999
12005 2103004000 PM25-PRI 3.229 NONPOINT 1999
12009 2265002054 PM25-PRI 0 NON-ROAD 1999
12009 2270004076 PM25-PRI 0.01 NON-ROAD 1999
12011 20100102 PM25-PRI 2.067 POINT 1999
12011 220100127X PM25-PRI 18.58 ON-ROAD 1999
12011 223000129B PM25-PRI 0.02 ON-ROAD 1999
12011 223006013X PM25-PRI 0.04 ON-ROAD 1999
12015 220100133X PM25-PRI 1.35 ON-ROAD 1999
12017 2270005020 PM25-PRI 0.11 NON-ROAD 1999
12019 220104017T PM25-PRI 0.01 ON-ROAD 1999
12019 2270005045 PM25-PRI 0.01 NON-ROAD 1999
12021 223007211X PM25-PRI 1.18 ON-ROAD 1999
12021 2260002039 PM25-PRI 2.1 NON-ROAD 1999
12023 2267004066 PM25-PRI 0 NON-ROAD 1999
12023 2311010000 PM25-PRI 0.93 NONPOINT 1999
12027 2270002033 PM25-PRI 0.02 NON-ROAD 1999
12031 10500206 PM25-PRI 2.358 POINT 1999
12031 220100117T PM25-PRI 0.01 ON-ROAD 1999
12031 220107023X PM25-PRI 6 ON-ROAD 1999
12031 2260004031 PM25-PRI 14.13 NON-ROAD 1999
12033 2311020000 PM25-PRI 202.68 NONPOINT 1999
12033 2805001000 PM25-PRI 8.44 NONPOINT 1999
12035 220104027X PM25-PRI 0.14 ON-ROAD 1999
12035 220107013X PM25-PRI 0.29 ON-ROAD 1999
12035 223006029X PM25-PRI 0.06 ON-ROAD 1999
12035 2270006005 PM25-PRI 0.35 NON-ROAD 1999
12039 220108013X PM25-PRI 0.01 ON-ROAD 1999
12039 2270005035 PM25-PRI 0.02 NON-ROAD 1999
12041 2265004055 PM25-PRI 0.02 NON-ROAD 1999
12049 223007333X PM25-PRI 0.03 ON-ROAD 1999
12049 2260005035 PM25-PRI 0.01 NON-ROAD 1999
12051 2270006010 PM25-PRI 0.06 NON-ROAD 1999
12053 30510303 PM25-PRI 0.005 POINT 1999
12053 2270003060 PM25-PRI 2.25 NON-ROAD 1999
12057 223007515X PM25-PRI 0.92 ON-ROAD 1999
12059 2102006000 PM25-PRI 0.2 NONPOINT 1999
12059 220102017B PM25-PRI 0.03 ON-ROAD 1999
12061 223007317X PM25-PRI 0.19 ON-ROAD 1999
12063 223007211B PM25-PRI 0.02 ON-ROAD 1999
12063 2265004040 PM25-PRI 0.01 NON-ROAD 1999
12065 2270006015 PM25-PRI 0.05 NON-ROAD 1999
12067 2265004015 PM25-PRI 0 NON-ROAD 1999
12067 2270002081 PM25-PRI 0.07 NON-ROAD 1999
12071 2103001000 PM25-PRI 0.036 NONPOINT 1999
12071 220102019T PM25-PRI 0.02 ON-ROAD 1999
12073 223007519X PM25-PRI 0.1 ON-ROAD 1999
12075 2104008050 PM25-PRI 0.64 NONPOINT 1999
12075 223000121X PM25-PRI 0.02 ON-ROAD 1999
12079 220104017X PM25-PRI 0.03 ON-ROAD 1999
12079 220107013B PM25-PRI 0.02 ON-ROAD 1999
12081 220102011B PM25-PRI 0.38 ON-ROAD 1999
12081 223007231B PM25-PRI 0.01 ON-ROAD 1999
12081 2294000000 PM25-PRI 628.66 NONPOINT 1999
12083 223007315X PM25-PRI 2.46 ON-ROAD 1999
12086 2265004011 PM25-PRI 1.59 NON-ROAD 1999
12087 2265002003 PM25-PRI 0 NON-ROAD 1999
12087 2270006005 PM25-PRI 1.1 NON-ROAD 1999
12089 220100111T PM25-PRI 0.19 ON-ROAD 1999
12089 223007519X PM25-PRI 0.09 ON-ROAD 1999
12091 2270004071 PM25-PRI 0.8 NON-ROAD 1999
12095 220107023T PM25-PRI 0.1 ON-ROAD 1999
12095 223007225T PM25-PRI 0.01 ON-ROAD 1999
12095 2270003070 PM25-PRI 2.85 NON-ROAD 1999
12097 2104008002 PM25-PRI 34.44 NONPOINT 1999
12097 220104015T PM25-PRI 0.02 ON-ROAD 1999
12097 2311010000 PM25-PRI 13.8 NONPOINT 1999
12099 220107021T PM25-PRI 0.01 ON-ROAD 1999
12099 2270002033 PM25-PRI 5.82 NON-ROAD 1999
12101 220104021T PM25-PRI 0.03 ON-ROAD 1999
12105 2104008030 PM25-PRI 4.33 NONPOINT 1999
12109 2102004000 PM25-PRI 0.036 NONPOINT 1999
12109 2260002027 PM25-PRI 0 NON-ROAD 1999
12111 223007115X PM25-PRI 0.05 ON-ROAD 1999
12113 220102019X PM25-PRI 0.11 ON-ROAD 1999
12113 220102023X PM25-PRI 0.14 ON-ROAD 1999
12113 223007327B PM25-PRI 0.01 ON-ROAD 1999
12113 2265005025 PM25-PRI 0 NON-ROAD 1999
12115 220104017X PM25-PRI 0.04 ON-ROAD 1999
12117 220102015X PM25-PRI 0.14 ON-ROAD 1999
12119 220102013X PM25-PRI 0.54 ON-ROAD 1999
12119 2260006010 PM25-PRI 0.04 NON-ROAD 1999
12119 2805001000 PM25-PRI 69.66 NONPOINT 1999
12123 223007421X PM25-PRI 0.97 ON-ROAD 1999
12127 220100115T PM25-PRI 0.16 ON-ROAD 1999
12127 2267002021 PM25-PRI 0 NON-ROAD 1999
12129 2260002054 PM25-PRI 0 NON-ROAD 1999
12131 223007317X PM25-PRI 0.33 ON-ROAD 1999
13001 2268006005 PM25-PRI 0 NON-ROAD 1999
13003 2265003070 PM25-PRI 0 NON-ROAD 1999
13013 223007531X PM25-PRI 0.05 ON-ROAD 1999
13019 2265004015 PM25-PRI 0 NON-ROAD 1999
13021 220102019B PM25-PRI 0.03 ON-ROAD 1999
13025 2270002060 PM25-PRI 0.15 NON-ROAD 1999
13027 223007329X PM25-PRI 0.14 ON-ROAD 1999
13027 223007427X PM25-PRI 0.45 ON-ROAD 1999
13033 2265005055 PM25-PRI 0 NON-ROAD 1999
13033 2285002015 PM25-PRI 0.04 NON-ROAD 1999
13037 2270002078 PM25-PRI 0 NON-ROAD 1999
13039 220107027B PM25-PRI 0.02 ON-ROAD 1999
13043 220100111X PM25-PRI 1.14 ON-ROAD 1999
13045 220102029B PM25-PRI 0.17 ON-ROAD 1999
13047 2265002054 PM25-PRI 0 NON-ROAD 1999
13047 2270006005 PM25-PRI 0.35 NON-ROAD 1999
13049 220104015X PM25-PRI 0.05 ON-ROAD 1999
13049 223006013X PM25-PRI 0.01 ON-ROAD 1999
13051 2267002039 PM25-PRI 0 NON-ROAD 1999
13055 223000115X PM25-PRI 0.02 ON-ROAD 1999
13057 20200201 PM25-PRI 1672.414 POINT 1999
13057 220100115B PM25-PRI 0.78 ON-ROAD 1999
13057 223007119X PM25-PRI 0.14 ON-ROAD 1999
13061 223007215X PM25-PRI 0.02 ON-ROAD 1999
13063 2260005035 PM25-PRI 0 NON-ROAD 1999
13063 2270005060 PM25-PRI 0 NON-ROAD 1999
13071 220100129B PM25-PRI 0.27 ON-ROAD 1999
13071 220102027T PM25-PRI 0.03 ON-ROAD 1999
13073 223007427T PM25-PRI 0.04 ON-ROAD 1999
13075 2265003040 PM25-PRI 0 NON-ROAD 1999
13079 2270002075 PM25-PRI 0.01 NON-ROAD 1999
13085 220104019X PM25-PRI 0.02 ON-ROAD 1999
13087 220102027B PM25-PRI 0.06 ON-ROAD 1999
13087 2270003040 PM25-PRI 0.22 NON-ROAD 1999
13091 223007533X PM25-PRI 0.02 ON-ROAD 1999
13091 2268003020 PM25-PRI 0 NON-ROAD 1999
13091 2810015000 PM25-PRI 99.09 NONPOINT 1999
13095 2270002009 PM25-PRI 0.01 NON-ROAD 1999
13099 223007413B PM25-PRI 0.01 ON-ROAD 1999
13099 2270002015 PM25-PRI 0.03 NON-ROAD 1999
13103 2265004075 PM25-PRI 0.01 NON-ROAD 1999
13105 2265002003 PM25-PRI 0 NON-ROAD 1999
13109 2265004055 PM25-PRI 0.02 NON-ROAD 1999
13111 2268006005 PM25-PRI 0 NON-ROAD 1999
13113 220104019B PM25-PRI 0.02 ON-ROAD 1999
13113 2610000400 PM25-PRI 3.03 NONPOINT 1999
13113 2810001000 PM25-PRI 67.9 NONPOINT 1999
13119 2104008030 PM25-PRI 0.41 NONPOINT 1999
13121 2265002030 PM25-PRI 0.08 NON-ROAD 1999
13121 2265004051 PM25-PRI 0.12 NON-ROAD 1999
13127 2267002015 PM25-PRI 0 NON-ROAD 1999
13127 2267002057 PM25-PRI 0 NON-ROAD 1999
13131 223007115X PM25-PRI 0.07 ON-ROAD 1999
13131 2267006025 PM25-PRI 0 NON-ROAD 1999
13133 2260002021 PM25-PRI 0 NON-ROAD 1999
13137 220100115X PM25-PRI 0.44 ON-ROAD 1999
13137 2265004030 PM25-PRI 0 NON-ROAD 1999
13139 2270002072 PM25-PRI 2.97 NON-ROAD 1999
13141 2270002051 PM25-PRI 0.26 NON-ROAD 1999
13143 2610000100 PM25-PRI 2.31 NONPOINT 1999
13145 223007317X PM25-PRI 0.52 ON-ROAD 1999
13147 220102017X PM25-PRI 0.12 ON-ROAD 1999
13147 2265005015 PM25-PRI 0 NON-ROAD 1999
13149 2260003030 PM25-PRI 0 NON-ROAD 1999
13151 2265005015 PM25-PRI 0 NON-ROAD 1999
13153 223006023X PM25-PRI 0.02 ON-ROAD 1999
13159 2265002021 PM25-PRI 0 NON-ROAD 1999
13159 2282010005 PM25-PRI 0.01 NON-ROAD 1999
13161 2104004000 PM25-PRI 0.003 NONPOINT 1999
13161 2104008001 PM25-PRI 0.39 NONPOINT 1999
13161 223007515X PM25-PRI 0.12 ON-ROAD 1999
13163 220100115B PM25-PRI 0.17 ON-ROAD 1999
13165 2270006030 PM25-PRI 0 NON-ROAD 1999
13167 2103006000 PM25-PRI 0.16 NONPOINT 1999
13169 2103004000 PM25-PRI 0.371 NONPOINT 1999
13169 220102033X PM25-PRI 0.02 ON-ROAD 1999
13175 220104027T PM25-PRI 0.01 ON-ROAD 1999
13177 220100113X PM25-PRI 0.29 ON-ROAD 1999
13177 223007421X PM25-PRI 1.97 ON-ROAD 1999
13179 2270005015 PM25-PRI 0.09 NON-ROAD 1999
13181 2265002039 PM25-PRI 0 NON-ROAD 1999
13183 223007413X PM25-PRI 1.49 ON-ROAD 1999
13183 2265004040 PM25-PRI 0 NON-ROAD 1999
13189 223000129X PM25-PRI 0.02 ON-ROAD 1999
13193 2267002033 PM25-PRI 0 NON-ROAD 1999
13193 2311010000 PM25-PRI 0.11 NONPOINT 1999
13201 2104007000 PM25-PRI 0.128 NONPOINT 1999
13201 2282010005 PM25-PRI 0 NON-ROAD 1999
13205 2268006015 PM25-PRI 0 NON-ROAD 1999
13205 2270006015 PM25-PRI 0.19 NON-ROAD 1999
13211 223000117X PM25-PRI 0.01 ON-ROAD 1999
13215 223007423X PM25-PRI 5.05 ON-ROAD 1999
13219 223007421X PM25-PRI 2.52 ON-ROAD 1999
13219 2265002009 PM25-PRI 0 NON-ROAD 1999
13221 2270003050 PM25-PRI 0 NON-ROAD 1999
13225 220107013X PM25-PRI 0.14 ON-ROAD 1999
13229 220107019X PM25-PRI 0.03 ON-ROAD 1999
13231 2311020000 PM25-PRI 2.24 NONPOINT 1999
13231 2810030000 PM25-PRI 0.14 NONPOINT 1999
13233 220104029T PM25-PRI 0.01 ON-ROAD 1999
13233 2270002048 PM25-PRI 0.32 NON-ROAD 1999
13235 2265005040 PM25-PRI 0 NON-ROAD 1999
13241 223007117X PM25-PRI 0.07 ON-ROAD 1999
13241 223007421T PM25-PRI 0.02 ON-ROAD 1999
13241 2260002009 PM25-PRI 0 NON-ROAD 1999
13243 2265002009 PM25-PRI 0 NON-ROAD 1999
13245 220107027X PM25-PRI 1.21 ON-ROAD 1999
13245 2265006025 PM25-PRI 0.06 NON-ROAD 1999
13247 220100127X PM25-PRI 0.4 ON-ROAD 1999
13249 2270002057 PM25-PRI 0.01 NON-ROAD 1999
13251 220102019X PM25-PRI 0.03 ON-ROAD 1999
13253 223007313X PM25-PRI 0.19 ON-ROAD 1999
13255 223007529X PM25-PRI 0.26 ON-ROAD 1999
13255 2265003030 PM25-PRI 0.01 NON-ROAD 1999
13257 2104006000 PM25-PRI 0.976 NONPOINT 1999
13261 223007413T PM25-PRI 0.03 ON-ROAD 1999
13263 223000113X PM25-PRI 0.01 ON-ROAD 1999
13263 223006013X PM25-PRI 0.01 ON-ROAD 1999
13265 2265002030 PM25-PRI 0 NON-ROAD 1999
13269 2265002030 PM25-PRI 0 NON-ROAD 1999
13273 2265003020 PM25-PRI 0 NON-ROAD 1999
13275 220100121B PM25-PRI 0.15 ON-ROAD 1999
13277 220102021T PM25-PRI 0.02 ON-ROAD 1999
13277 220107023B PM25-PRI 0.01 ON-ROAD 1999
13277 223007533X PM25-PRI 0.05 ON-ROAD 1999
13279 220107027B PM25-PRI 0.01 ON-ROAD 1999
13281 2270003020 PM25-PRI 0.03 NON-ROAD 1999
13283 2311010000 PM25-PRI 0.03 NONPOINT 1999
13285 220102011T PM25-PRI 0.23 ON-ROAD 1999
13285 223007311X PM25-PRI 4.16 ON-ROAD 1999
13285 2265002057 PM25-PRI 0 NON-ROAD 1999
13285 2270002066 PM25-PRI 1.36 NON-ROAD 1999
13287 223007433X PM25-PRI 0.17 ON-ROAD 1999
13287 2285004015 PM25-PRI 0 NON-ROAD 1999
13289 223007421T PM25-PRI 0.02 ON-ROAD 1999
13289 2270005015 PM25-PRI 1.41 NON-ROAD 1999
13293 220102031T PM25-PRI 0.01 ON-ROAD 1999
13293 2265003020 PM25-PRI 0.01 NON-ROAD 1999
13293 2270003010 PM25-PRI 0.14 NON-ROAD 1999
13295 220102033B PM25-PRI 0.08 ON-ROAD 1999
13297 220107021T PM25-PRI 0.01 ON-ROAD 1999
13297 2270006015 PM25-PRI 0.22 NON-ROAD 1999
13299 2265002033 PM25-PRI 0 NON-ROAD 1999
13301 220100111B PM25-PRI 0.55 ON-ROAD 1999
13303 223007429X PM25-PRI 0.7 ON-ROAD 1999
13303 2260004026 PM25-PRI 0.06 NON-ROAD 1999
13303 2265003040 PM25-PRI 0 NON-ROAD 1999
13305 220102017T PM25-PRI 0.02 ON-ROAD 1999
13309 2260005050 PM25-PRI 0 NON-ROAD 1999
13313 223007313T PM25-PRI 0.01 ON-ROAD 1999
13313 2260004030 PM25-PRI 0.25 NON-ROAD 1999
13313 2265004055 PM25-PRI 0.13 NON-ROAD 1999
13313 2275001000 PM25-PRI 0.02 NON-ROAD 1999
13315 223007413B PM25-PRI 0.01 ON-ROAD 1999
13315 2265003020 PM25-PRI 0 NON-ROAD 1999
13317 220107013X PM25-PRI 0.06 ON-ROAD 1999
13317 223007413X PM25-PRI 1.08 ON-ROAD 1999
13317 2267006015 PM25-PRI 0 NON-ROAD 1999
13319 223007121X PM25-PRI 0.04 ON-ROAD 1999
13319 2267002039 PM25-PRI 0 NON-ROAD 1999
13321 223007313X PM25-PRI 0.44 ON-ROAD 1999
21001 2270002021 PM25-PRI 0 NON-ROAD 1999
21007 2270002039 PM25-PRI 0.01 NON-ROAD 1999
21009 2265005045 PM25-PRI 0 NON-ROAD 1999
21009 2267002039 PM25-PRI 0 NON-ROAD 1999
21011 2270005020 PM25-PRI 0.64 NON-ROAD 1999
21013 2282010005 PM25-PRI 0 NON-ROAD 1999
21015 30531090 PM25-PRI 18.937 POINT 1999
21015 220107019B PM25-PRI 0.01 ON-ROAD 1999
